algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.313,9523,8
MergeSort,random,10000,0.607,127212,11
MergeSort,random,100000,8.816,1639343,14
MergeSort,random,1000000,115.351,19889337,18
MergeSort,sorted,1000,0.014,4236,8
MergeSort,sorted,10000,0.190,59248,11
MergeSort,sorted,100000,2.277,744016,14
MergeSort,sorted,1000000,28.650,9071040,18
MergeSort,duplicates,1000,0.021,9036,8
MergeSort,duplicates,10000,0.353,121712,11
MergeSort,duplicates,100000,4.374,1563025,14
MergeSort,duplicates,1000000,48.106,18922524,18
QuickSort,random,1000,0.054,18640,6
QuickSort,random,10000,0.634,245060,8
QuickSort,random,100000,7.450,3208243,11
QuickSort,random,1000000,92.190,39656966,13
QuickSort,sorted,1000,0.034,19711,6
QuickSort,sorted,10000,0.368,250949,8
QuickSort,sorted,100000,4.116,3331662,10
QuickSort,sorted,1000000,48.334,37587113,13
QuickSort,duplicates,1000,0.014,5202,2
QuickSort,duplicates,10000,0.117,62103,2
QuickSort,duplicates,100000,1.039,469882,2
QuickSort,duplicates,1000000,10.937,5899270,2
QuickSelect,random,1000,0.011,4382,0
QuickSelect,random,10000,0.079,46281,0
QuickSelect,random,100000,0.982,485576,0
QuickSelect,random,1000000,10.603,6055162,0
QuickSelect,sorted,1000,0.005,7080,0
QuickSelect,sorted,10000,0.031,52865,0
QuickSelect,sorted,100000,0.310,570436,0
QuickSelect,sorted,1000000,2.171,3607326,0
QuickSelect,duplicates,1000,0.013,3947,0
QuickSelect,duplicates,10000,0.068,27023,0
QuickSelect,duplicates,100000,0.569,289520,0
QuickSelect,duplicates,1000000,9.742,4003514,0
